,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.0,0.0,0.0,147.0
Pepper__bell___healthy,0.0,0.0,0.0,228.0
Potato___Early_blight,0.0,0.0,0.0,139.0
Potato___Late_blight,0.0,0.0,0.0,129.0
Potato___healthy,0.0,0.0,0.0,23.0
Tomato_Bacterial_spot,0.0,0.0,0.0,341.0
Tomato_Early_blight,0.0,0.0,0.0,150.0
Tomato_Late_blight,0.09008718114304165,1.0,0.16528436018957346,279.0
Tomato_Leaf_Mold,0.0,0.0,0.0,140.0
Tomato_Septoria_leaf_spot,0.0,0.0,0.0,277.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.0,0.0,0.0,249.0
Tomato__Target_Spot,0.0,0.0,0.0,187.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.0,0.0,0.0,483.0
Tomato__Tomato_mosaic_virus,0.0,0.0,0.0,56.0
Tomato_healthy,0.0,0.0,0.0,269.0
accuracy,0.09008718114304165,0.09008718114304165,0.09008718114304165,0.09008718114304165
macro avg,0.006005812076202777,0.06666666666666667,0.011018957345971563,3097.0
weighted avg,0.0081157002062992,0.09008718114304165,0.014890002096509846,3097.0
